f_0_0,0.0,25.0
b_0_0,497.0,537.0
f_1_0,25.0,50.0
b_1_0,585.0,625.0
f_2_0,50.0,75.0
b_2_0,673.0,713.0
f_3_0,75.0,100.0
b_3_0,761.0,801.0
f_4_0,100.0,125.0
b_4_0,849.0,889.0
f_5_0,125.0,150.0
b_5_0,937.0,977.0
f_6_0,150.0,175.0
b_6_0,1025.0,1065.0
f_7_0,175.0,200.0
b_7_0,1113.0,1153.0
f_8_0,537.0,562.0
b_8_0,1201.0,1241.0
f_9_0,625.0,650.0
b_9_0,1289.0,1329.0
f_10_0,713.0,738.0
b_10_0,1377.0,1417.0
f_11_0,801.0,826.0
b_11_0,1465.0,1505.0
f_12_0,889.0,914.0
b_12_0,1553.0,1593.0
f_13_0,977.0,1002.0
b_13_0,1641.0,1681.0
f_14_0,1065.0,1090.0
b_14_0,1729.0,1769.0
f_15_0,1153.0,1178.0
b_15_0,1817.0,1857.0
f_0_1,25.0,49.0
b_0_1,457.0,497.0
f_1_1,50.0,74.0
b_1_1,545.0,585.0
f_2_1,75.0,99.0
b_2_1,633.0,673.0
f_3_1,100.0,124.0
b_3_1,721.0,761.0
f_4_1,125.0,149.0
b_4_1,809.0,849.0
f_5_1,150.0,174.0
b_5_1,897.0,937.0
f_6_1,175.0,199.0
b_6_1,985.0,1025.0
f_7_1,497.0,521.0
b_7_1,1073.0,1113.0
f_8_1,585.0,609.0
b_8_1,1161.0,1201.0
f_9_1,673.0,697.0
b_9_1,1249.0,1289.0
f_10_1,761.0,785.0
b_10_1,1337.0,1377.0
f_11_1,849.0,873.0
b_11_1,1425.0,1465.0
f_12_1,937.0,961.0
b_12_1,1513.0,1553.0
f_13_1,1025.0,1049.0
b_13_1,1601.0,1641.0
f_14_1,1113.0,1137.0
b_14_1,1689.0,1729.0
f_15_1,1201.0,1225.0
b_15_1,1777.0,1817.0
f_0_2,49.0,73.0
b_0_2,417.0,457.0
f_1_2,75.0,99.0
b_1_2,505.0,545.0
f_2_2,99.0,123.0
b_2_2,593.0,633.0
f_3_2,124.0,148.0
b_3_2,681.0,721.0
f_4_2,149.0,173.0
b_4_2,769.0,809.0
f_5_2,174.0,198.0
b_5_2,857.0,897.0
f_6_2,457.0,481.0
b_6_2,945.0,985.0
f_7_2,545.0,569.0
b_7_2,1033.0,1073.0
f_8_2,633.0,657.0
b_8_2,1121.0,1161.0
f_9_2,721.0,745.0
b_9_2,1209.0,1249.0
f_10_2,809.0,833.0
b_10_2,1297.0,1337.0
f_11_2,897.0,921.0
b_11_2,1385.0,1425.0
f_12_2,985.0,1009.0
b_12_2,1473.0,1513.0
f_13_2,1073.0,1097.0
b_13_2,1561.0,1601.0
f_14_2,1161.0,1185.0
b_14_2,1649.0,1689.0
f_15_2,1249.0,1273.0
b_15_2,1737.0,1777.0
f_0_3,73.0,97.0
b_0_3,377.0,417.0
f_1_3,99.0,123.0
b_1_3,465.0,505.0
f_2_3,123.0,147.0
b_2_3,553.0,593.0
f_3_3,148.0,172.0
b_3_3,641.0,681.0
f_4_3,173.0,197.0
b_4_3,729.0,769.0
f_5_3,417.0,441.0
b_5_3,817.0,857.0
f_6_3,505.0,529.0
